Date,Open,High,Low,Close*,Adj Close**,Volume
01-10-96,3954.70,4073.20,3951.90,3979.10,3979.10,-
01-11-96,3982.70,4094.40,3896.50,4058.00,4058.00,-
01-12-96,4055.90,4123.20,3882.70,4118.50,4118.50,-
01-01-97,4118.50,4275.80,4036.90,4275.80,4275.80,-
01-02-97,4272.30,4362.40,4252.80,4308.30,4308.30,-
01-03-97,4293.40,4466.30,4214.30,4312.90,4312.90,-
01-04-97,4205.10,4466.50,4200.50,4436.00,4436.00,-
01-05-97,4435.90,4723.70,4423.60,4621.30,4621.30,-
01-06-97,4644.70,4796.00,4524.20,4604.60,4604.60,-
01-07-97,4606.00,4998.10,4597.10,4907.50,4907.50,-
01-08-97,4914.60,5095.30,4779.30,4817.50,4817.50,-
01-09-97,4816.60,5269.20,4795.30,5244.20,5244.20,-
01-10-97,5241.40,5367.30,4382.80,4842.30,4842.30,-
01-11-97,4877.00,4985.80,4680.40,4831.80,4831.80,-
01-12-97,4871.70,5247.60,4859.80,5135.50,5135.50,-
01-01-98,5135.50,5458.50,4988.30,5458.50,5458.50,-
01-02-98,5589.90,5821.80,5530.80,5767.30,5767.30,-
01-03-98,5767.30,6105.80,5629.10,5932.20,5932.20,-
01-04-98,5930.90,6150.50,5699.90,5928.40,5928.40,-
01-05-98,5932.70,6064.60,5794.50,5870.70,5870.70,-
01-06-98,5870.70,6049.60,5646.10,5832.60,5832.60,-
01-07-98,5840.60,6183.70,5782.20,5837.10,5837.10,-
01-08-98,5832.20,5832.20,5108.70,5249.40,5249.40,-
01-09-98,5139.50,5399.80,4899.60,5064.40,5064.40,-
01-10-98,5024.80,5455.20,4599.20,5438.40,5438.40,-
01-11-98,5454.30,5881.70,5359.50,5743.90,5743.90,-
01-12-98,5723.30,5970.10,5377.20,5882.60,5882.60,-
01-01-99,5882.60,6195.60,5736.80,5896.00,5896.00,25492140000.00
01-02-99,5926.00,6319.80,5697.70,6175.10,6175.10,10997843000.00
01-03-99,6177.50,6365.40,5968.30,6295.30,6295.30,13258784000.00
01-04-99,6283.10,6635.90,6280.20,6552.20,6552.20,11327739000.00
01-05-99,6552.20,6663.80,6110.10,6226.20,6226.20,20807156000.00
01-06-99,6231.00,6613.60,6227.50,6318.50,6318.50,11647956000.00
01-07-99,6372.10,6649.50,6092.10,6231.90,6231.90,11878815000.00
01-08-99,6228.40,6434.40,5976.20,6246.40,6246.40,10057050000.00
01-09-99,6251.10,6388.40,5868.40,6029.80,6029.80,11775277000.00
01-10-99,6029.80,6279.30,5798.30,6255.70,6255.70,13150541000.00
01-11-99,6255.70,6759.30,6231.00,6597.20,6597.20,16793563000.00
01-12-99,6597.20,6950.60,6575.30,6930.20,6930.20,11529365000.00
01-01-00,6930.20,6930.20,6246.80,6268.50,6268.50,34287688000.00
01-02-00,6268.50,6450.90,5972.70,6232.60,6232.60,33468110000.00
01-03-00,6232.60,6770.40,6232.60,6540.20,6540.20,24499272000.00
01-04-00,6540.20,6586.30,5915.20,6327.40,6327.40,17953192000.00
01-05-00,6327.40,6419.90,5991.90,6359.40,6359.40,38243682000.00
01-06-00,6359.30,6635.70,6221.00,6312.70,6312.70,17657991000.00
01-07-00,6312.70,6545.10,6274.90,6365.30,6365.30,16688347000.00
01-08-00,6365.30,6675.70,6296.40,6672.70,6672.70,19036058000.00
01-09-00,6672.70,6838.60,6075.10,6294.20,6294.20,20830932000.00
01-10-00,6294.20,6475.80,6017.20,6438.40,6438.40,20713930000.00
01-11-00,6438.40,6514.70,6070.00,6142.20,6142.20,20611042000.00
01-12-00,6142.20,6421.50,6083.70,6222.50,6222.50,16184311000.00
01-01-01,6222.50,6360.30,6029.30,6297.50,6297.50,55745684000.00
01-02-01,6297.50,6309.90,5901.70,5917.90,5917.90,23977042000.00
01-03-01,5917.90,6050.40,5279.60,5633.70,5633.70,27732111000.00
01-04-01,5633.70,5995.40,5354.30,5967.00,5967.00,23006315000.00
01-05-01,5966.90,5993.70,5690.50,5796.20,5796.20,25749874000.00
01-06-01,5796.10,5981.80,5519.60,5642.50,5642.50,26428794000.00
01-07-01,5642.50,5726.10,5260.50,5529.10,5529.10,27218149000.00
01-08-01,5529.10,5644.20,5286.70,5345.00,5345.00,24439402000.00
01-09-01,5345.00,5379.60,4219.80,4903.40,4903.40,34128664000.00
01-10-01,4903.40,5279.80,4730.70,5039.70,5039.70,29698603000.00
01-11-01,5039.70,5383.20,4988.30,5203.60,5203.60,31085113000.00
01-12-01,5203.60,5411.20,5032.30,5217.40,5217.40,19398298000.00
01-01-02,5217.40,5362.30,5052.80,5164.80,5164.80,54419416000.00
01-02-02,5164.80,5238.00,5015.50,5101.00,5101.00,28379876000.00
01-03-02,5101.00,5331.60,5101.00,5271.80,5271.80,26766432000.00
01-04-02,5271.80,5292.30,5116.00,5165.60,5165.60,63351782000.00
01-05-02,5165.60,5282.20,5016.90,5085.10,5085.10,33410901000.00
01-06-02,5085.10,5085.10,4442.90,4656.40,4656.40,62001076000.00
01-07-02,4656.40,4708.70,3625.90,4246.20,4246.20,44350087000.00
01-08-02,4246.20,4466.40,3900.70,4227.30,4227.30,28961622000.00
01-09-02,4227.30,4246.40,3609.90,3721.80,3721.80,35426907000.00
01-10-02,3721.80,4197.50,3663.40,4039.70,4039.70,36697812000.00
01-11-02,4039.70,4224.80,3953.30,4169.40,4169.40,40891688000.00
01-12-02,4169.40,4218.60,3803.40,3940.40,3940.40,25332268000.00
01-01-03,3940.40,4027.60,3391.50,3567.40,3567.40,76959002000.00
01-02-03,3567.40,3747.00,3535.10,3655.60,3655.60,33096864000.00
01-03-03,3655.60,3881.70,3277.50,3613.30,3613.30,37217666000.00
01-04-03,3613.30,3997.30,3612.30,3926.00,3926.00,29310772000.00
01-05-03,3926.00,4096.00,3875.30,4048.10,4048.10,31531355000.00
01-06-03,4048.10,4218.80,4021.60,4031.20,4031.20,34210105000.00
01-07-03,4031.20,4183.00,3951.50,4157.00,4157.00,36504021900.00
01-08-03,4157.00,4286.90,4044.90,4161.10,4161.10,29665062700.00
01-09-03,4161.10,4329.60,4081.80,4091.30,4091.30,40698786200.00
01-10-03,4091.30,4393.80,4091.30,4287.60,4287.60,40567964300.00
01-11-03,4287.60,4423.60,4270.50,4342.60,4342.60,34775662100.00
01-12-03,4342.60,4491.80,4312.50,4476.90,4476.90,29985787000.00
01-01-04,4476.90,4531.40,4390.70,4390.70,4390.70,79737448400.00
01-02-04,4390.70,4556.90,4357.40,4492.20,4492.20,40249839400.00
01-03-04,4492.20,4566.20,4291.30,4385.70,4385.70,42624016800.00
01-04-04,4385.70,4601.60,4385.10,4489.70,4489.70,32764019800.00
01-05-04,4489.70,4573.70,4363.00,4430.70,4430.70,65478858600.00
01-06-04,4430.70,4535.10,4400.70,4464.10,4464.10,33637349800.00
01-07-04,4464.10,4487.90,4283.20,4413.10,4413.10,34559558300.00
01-08-04,4413.10,4490.10,4283.00,4459.30,4459.30,28677387400.00
01-09-04,4459.30,4630.70,4459.30,4570.80,4570.80,35555566800.00
01-10-04,4570.80,4732.90,4551.60,4624.20,4624.20,32878422300.00
01-11-04,4624.20,4823.80,4624.20,4703.20,4703.20,33887966500.00
01-12-04,4703.20,4826.20,4675.00,4814.30,4814.30,28451048500.00
01-01-05,4814.30,4879.50,4765.40,4852.30,4852.30,62978437400.00
01-02-05,4852.30,5077.80,4852.30,4968.50,4968.50,33004713300.00
